sen,label_decode,label,raw_sen,length,start,insert_index
"['3', '.', '2', '5', '冷', '沉', '淀', '凝', '血', '因', '子', 'c', 'r', 'y', 'o', 'p', 'r', 'e', 'c', 'i', 'p', 'i', 't', 'a', 't', 'e', 'd']","['O', 'O', 'O', 'O', 'O', 'O', 'B-术语', 'I-术语', 'I-术语', 'I-术语', 'I-术语', 'I-术语', 'O', 'I-术语', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 3, 3, 3, 3, 3, 30, 31, 31, 31, 31, 31, 31, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1]",3.25冷沉淀凝血因子cryoprecipitated,27,0,"[5, 12]"
"['并', '保', '留', '注', '满', '解', '冻', '去', '甘', '油', '红', '细', '胞', '经', '热', '合', '的', '导', '管', '至', '少', '2', '0', 'c', 'm', '容', '量', '来', '源', '于', '2', '0', '0', 'm', 'L']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-项目', 'O', 'I-项目', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 10, 11, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1]",并保留注满解冻去甘油红细胞经热合的导管至少20cm 容量 来源于200mL,35,0,"[26, 28]"
"['7', '）', '双', '臂', '静', '脉', '穿', '刺', '部', '位', '无', '皮', '肤', '损', '伤', '无', '静', '脉', '注', '射', '药', '物', '痕', '迹']","['O', 'O', 'O', 'O', 'B-项目', 'I-项目', 'I-项目', 'I-项目', 'I-项目', 'I-项目', 'I-项目', 'O', 'I-项目', 'B-标准', 'I-标准', 'I-标准', 'I-标准', 'I-标准', 'I-标准', 'I-标准', 'I-标准', 'I-标准', 'I-标准', 'I-标准', 'I-标准', 'I-标准', 'O', 'I-标准', 'O']","[0, 3, 3, 3, 10, 11, 11, 11, 11, 11, 11, 11, 3, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 3, 1]",7） 双臂静脉穿刺部位 无皮肤损伤无静脉注射药物痕迹 ,24,0,"[3, 11, 25]"
"['S', 'u', 'r', 'g', 'e', 'r', 'y', '5', '1', '(', '2', ')', '2', '2', '4', '–', '2', '3', '2']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-编号', 'I-编号', 'I-编号', 'I-编号', 'I-编号', 'I-编号', 'I-编号', 'I-编号', 'I-编号', 'I-编号', 'I-编号', 'O', 'I-编号', 'O']","[0, 3, 3, 3, 3, 3, 3, 3, 3, 24, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 3, 1]",Surgery51(2)224–232,19,0,"[8, 20]"
"['3', '.', '2', '7', '辐', '照', '血', '液', 'i', 'r', 'r', 'a', 'd', 'i', 'a', 't', 'e', 'd']","['O', 'O', 'O', 'O', 'O', 'O', 'B-术语', 'I-术语', 'I-术语', 'O', 'I-术语', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 3, 3, 3, 3, 3, 30, 31, 31, 31, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1]",3.27辐照血液irradiated,18,0,"[5, 9]"
"['2', '.', '4', '.', '7', '.', '3', '单', '采', '粒', '细', '胞', '采', '集']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-血液采集', 'I-血液采集', 'I-血液采集', 'I-血液采集', 'I-血液采集', 'I-血液采集', 'O', 'I-血液采集', 'O']","[0, 3, 3, 3, 3, 3, 3, 3, 3, 28, 29, 29, 29, 29, 29, 29, 3, 1]",2.4.7.3单采粒细胞采集,14,0,"[8, 15]"
"['t', 'e', 'n', 's', 'i', 'o', 'n', 'A', 'M', 'T', '）']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-缩写词', 'I-缩写词', 'O', 'I-缩写词', 'O', 'O']","[0, 3, 3, 3, 3, 3, 3, 3, 3, 50, 51, 51, 3, 3, 1]",tensionAMT）,11,0,"[8, 11]"
"['1', '0', '.', '1', '诊', '疗', '用', '品', '的', '清', '洁', '与', '消', '毒']","['O', 'O', 'O', 'O', 'O', 'O', 'B-卫生', 'I-卫生', 'I-卫生', 'I-卫生', 'I-卫生', 'I-卫生', 'I-卫生', 'I-卫生', 'I-卫生', 'O', 'I-卫生', 'O']","[0, 3, 3, 3, 3, 3, 72, 73, 73, 73, 73, 73, 73, 73, 73, 73, 3, 1]",10.1诊疗用品的清洁与消毒,14,0,"[5, 15]"
"['本', '标', '准', '主', '要', '起', '草', '人', '郭', '永', '建', '、', '徐', '健', '、', '郭', '瑾', '、', '陈', '辉', '、', '曾', '嘉']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-起草人', 'I-起草人', 'O', 'I-起草人', 'O', 'O', 'B-起草人', 'O', 'I-起草人', 'O', 'O', 'B-起草人', 'O', 'I-起草人', 'O', 'O', 'B-起草人', 'O', 'I-起草人', 'O', 'O', 'B-起草人', 'O', 'I-起草人', 'O']","[0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 48, 49, 49, 3, 3, 3, 48, 49, 3, 3, 3, 48, 49, 3, 3, 3, 48, 49, 3, 3, 3, 48, 49, 3, 1]",本标准主要起草人 郭永建 、 徐健 、 郭瑾 、 陈辉 、 曾嘉 ,23,0,"[9, 12, 13, 15, 16, 18, 19, 21, 22, 24]"
"['b', '）', '采', '前', '血', '板', '计', '数', '（', 'P', 'L', 'T', '）']","['O', 'O', 'O', 'O', 'B-项目', 'I-项目', 'I-项目', 'I-项目', 'I-项目', 'O', 'I-项目', 'O', 'O', 'B-英文名', 'I-英文名', 'O', 'I-英文名', 'O', 'O']","[0, 3, 3, 3, 10, 11, 11, 11, 11, 11, 3, 3, 3, 16, 17, 17, 3, 3, 1]",b）采前血板计数（PLT）,13,0,"[3, 9, 10, 13]"
"['①', '心', '理', '因', '素']","['O', 'O', 'O', 'B-诱发因素', 'I-诱发因素', 'I-诱发因素', 'O', 'I-诱发因素', 'O']","[0, 3, 3, 64, 65, 65, 65, 3, 1]",①心理因素,5,0,"[2, 6]"
"['含', '量', 'N', '3', '6', 'g', '白', '细', '胞', '残', '留', '量', '来', '源', '于', '2', '0', '0', 'm', 'L', '全', '血']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-项目', 'I-项目', 'I-项目', 'I-项目', 'I-项目', 'O', 'I-项目', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 3, 3, 3, 3, 3, 3, 3, 10, 11, 11, 11, 11, 11, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1]",含量N36g 白细胞残留量 来源于200mL全血,22,0,"[7, 13]"
"['残', '余', '白', '细', '胞', 'C', '5', '.', '0', 'X', '1', '0', '^', '6', '个', '储', '存', '期', '末', '溶', '血', '率', '无', '菌', '试', '验']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-项目', 'I-项目', 'I-项目', 'I-项目', 'I-项目', 'I-项目', 'O', 'I-项目', 'B-项目', 'I-项目', 'I-项目', 'O', 'I-项目', 'O']","[0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 10, 11, 11, 11, 11, 11, 11, 3, 10, 11, 11, 11, 3, 1]",残余白细胞C5.0X10^6个 储存期末溶血率 无菌试验 ,26,0,"[16, 23, 27]"
"['3', '.', '1', '3', '高', '度', '危', '险', '性', '物', '品', 'c', 'r', 'i', 't', 'i', 'c', 'a', 'l', 'i', 't', 'e', 'm', 's']","['O', 'O', 'O', 'O', 'O', 'O', 'B-术语', 'I-术语', 'I-术语', 'I-术语', 'I-术语', 'I-术语', 'O', 'I-术语', 'B-英文名', 'I-英文名', 'I-英文名', 'I-英文名', 'I-英文名', 'I-英文名', 'I-英文名', 'I-英文名', 'I-英文名', 'I-英文名', 'I-英文名', 'I-英文名', 'O', 'I-英文名', 'O']","[0, 3, 3, 3, 3, 3, 30, 31, 31, 31, 31, 31, 31, 3, 16, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 3, 1]",3.13 高度危险性物品 criticalitems ,24,0,"[5, 12, 25]"
"['5', '.', '1', '7', '\u2002', '单', '采', '新', '鲜', '冰', '冻', '血', '浆', '\u2002']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-血液', 'I-血液', 'I-血液', 'I-血液', 'I-血液', 'I-血液', 'I-血液', 'O', 'I-血液', 'O', 'O']","[0, 3, 3, 3, 3, 3, 3, 52, 53, 53, 53, 53, 53, 53, 53, 3, 3, 1]",5.17  单采新鲜冰冻血浆  ,14,0,"[6, 14]"
"['3', '.', '6', '单', '采', '成', '分', '血', 'a', 'p', 'h', 'e', 'r', 'e', 's', 'i', 's']","['O', 'O', 'O', 'O', 'O', 'B-术语', 'I-术语', 'I-术语', 'I-术语', 'O', 'I-术语', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 3, 3, 3, 3, 30, 31, 31, 31, 31, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1]",3.6单采成分血apheresis,17,0,"[4, 9]"
"['②', '严', '格', '筛', '选', '献', '血', '者']","['O', 'O', 'O', 'B-预防措施', 'I-预防措施', 'I-预防措施', 'I-预防措施', 'I-预防措施', 'I-预防措施', 'O', 'I-预防措施', 'O']","[0, 3, 3, 66, 67, 67, 67, 67, 67, 67, 3, 1]",②严格筛选献血者,8,0,"[2, 9]"
"['5', '.', '6', '注', '意', '力', '分', '散']","['O', 'O', 'O', 'O', 'O', 'B-预防措施', 'I-预防措施', 'I-预防措施', 'I-预防措施', 'O', 'I-预防措施', 'O']","[0, 3, 3, 3, 3, 66, 67, 67, 67, 67, 3, 1]",5.6注意力分散,8,0,"[4, 9]"
"['1', '0', '.', '2', '患', '者', '生', '活', '卫', '生', '用', '品', '的', '清', '洁', '与', '消', '毒']","['O', 'O', 'O', 'O', 'O', 'O', 'B-卫生', 'I-卫生', 'I-卫生', 'I-卫生', 'I-卫生', 'I-卫生', 'I-卫生', 'I-卫生', 'I-卫生', 'I-卫生', 'I-卫生', 'I-卫生', 'I-卫生', 'O', 'I-卫生', 'O']","[0, 3, 3, 3, 3, 3, 72, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 3, 1]",10.2患者生活卫生用品的清洁与消毒,18,0,"[5, 19]"
"['3', '2', '什', '么', '是', '血', '液', '病', '？', '（', '知', '识', '类', '-', '血', '液', '概', '念', '型', '）']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-疾病分类', 'I-疾病分类', 'O', 'I-疾病分类', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 3, 3, 3, 3, 3, 3, 20, 21, 21, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1]",32什么是 血液病 ？（知识类-血液概念型）,20,0,"[6, 9]"
"['6', '.', '1', '.', '1', '5', '各', '种', '结', '核', '病', '患', '者']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-疾病分类', 'I-疾病分类', 'O', 'I-疾病分类', 'O', 'O', 'O']","[0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 20, 21, 21, 3, 3, 3, 1]",6.1.15各种结核病患者,13,0,"[9, 12]"
