sen,label_decode,label,raw_sen,length,start,insert_index
"['6', '.', '1', '.', '1', '4', '传', '染', '性', '疾', '病', '患', '者', ',', '如', '病', '毒', '性', '肝', '炎', '患', '者', '及', '感', '染', '者']","['O', 'O', 'O', 'O', 'O', 'O', 'B-疾病分类', 'I-疾病分类', 'I-疾病分类', 'I-疾病分类', 'I-疾病分类', 'O', 'O', 'O', 'B-疾病', 'I-疾病', 'I-疾病', 'I-疾病', 'I-疾病', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 3, 3, 3, 3, 3, 3, 14, 15, 15, 15, 15, 3, 3, 3, 22, 23, 23, 23, 23, 3, 3, 3, 3, 3, 3, 1]","6.1.14传染性疾病患者,如病毒性肝炎患者及感染者",26,0,
"['使', '其', '失', '去', '对', '微', '生', '物', '抑', '制', '和', '杀', '灭', '作', '用', '的', '试', '剂', ',', '3', '.', '2', '3', ' ', '终', '末', '消', '毒', 't', 'e', 'r', 'm', 'i', 'n', 'a', 'l', ' ', 'd', 'i', 's', 'i', 'n', 'f', 'e', 'c', 't', 'i', 'o', 'n', ' ', '感', '染', '源', '离', '开', '疫', '源', '地', '后', '进', '行', '的', '彻', '底', '消', '毒']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-术语', 'I-术语', 'I-术语', 'I-术语', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 20, 21, 21, 21, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1]","使其失去对微生物抑制和杀灭作用的试剂,3.23 终末消毒terminal disinfection 感染源离开疫源地后进行的彻底消毒",66,0,
"[' ', 'I', 'C', 'S', ' ', '1', '1', '.', '0', '2', '0', ' ', 'Ｃ', '0', '5', ' ', ' ', 'W', 'S', ' ', ' ', '中', '华', '人', '民', '共', '和', '国', '卫', '生', '行', '业', '标', '准', ' ', 'W', 'S', '/', 'T', ' ', '5', '5', '0', '—', '2', '0', '1', '7', ' ', ' ', ' ', ' ', '全', '血', '及', '成', '分', '血', '质', '量', '监', '测', '指', '南', ' ', 'G', 'u', 'i', 'd', 'e', 'l', 'i', 'n', 'e', 's', ' ', 'o', 'n', ' ', 'q', 'u', 'a', 'l', 'i', 't', 'y', ' ', 'm', 'o', 'n', 'i', 't', 'o', 'r', 'i', 'n', 'g', ' ', 'o', 'f', ' ', 'w', 'h', 'o', 'l', 'e', ' ', 'b', 'l', 'o', 'o', 'd', ' ', 'a', 'n', 'd', ' ', 'b', 'l', 'o', 'o', 'd', ' ', 'c', 'o', 'm', 'p', 'o', 'n', 'e', 'n', 't', 's', ' ', ' ', ' ', ' ', ' ', '2', '0', '1', '7', '-', '0', '5', '-', '1', '2', '发', '布', ' ', '2', '0', '1', '7', '-', '1', '1', '-', '0', '1', '实', '施', ' ', '中', '华', '人', '民', '共', '和', '国', '国', '家', '卫', '生', '和', '计', '划', '生', '育', '委', '员', '会', '发', '布', ' ', '\x0c', 'W', 'S', '/', 'T', ' ', '5', '5', '0', '—', '2', '0', '1', '7']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-编号', 'I-编号', 'I-编号', 'I-编号', 'I-编号', 'I-编号', 'I-编号', 'I-编号', 'I-编号', 'I-编号', 'I-编号', 'I-编号', 'I-编号', 'O', 'O', 'O', 'O', 'B-行业标准', 'I-行业标准', 'I-行业标准', 'I-行业标准', 'I-行业标准', 'I-行业标准', 'I-行业标准', 'I-行业标准', 'I-行业标准', 'I-行业标准', 'I-行业标准', 'I-行业标准', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-发布日期', 'I-发布日期', 'I-发布日期', 'I-发布日期', 'I-发布日期', 'I-发布日期', 'I-发布日期', 'I-发布日期', 'I-发布日期', 'I-发布日期', 'O', 'O', 'O', 'B-实施日期', 'I-实施日期', 'I-实施日期', 'I-实施日期', 'I-实施日期', 'I-实施日期', 'I-实施日期', 'I-实施日期', 'I-实施日期', 'I-实施日期', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 18, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 3, 3, 3, 3, 44, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 30, 31, 31, 31, 31, 31, 31, 31, 31, 31, 3, 3, 3, 32, 33, 33, 33, 33, 33, 33, 33, 33, 33, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1]", ICS 11.020 Ｃ05  WS  中华人民共和国卫生行业标准 WS/T 550—2017    全血及成分血质量监测指南 Guidelines on quality monitoring of whole blood and blood components     2017-05-12发布 2017-11-01实施 中华人民共和国国家卫生和计划生育委员会发布 WS/T 550—2017,200,0,
"['弹', '性', '较', '差', ',', '口', '腔', '糜', '烂', '口', '腔', '糜', '烂', ',', '牙', '龈', '肿', '胀', '牙', '龈', '肿', '胀', ',', '舌', '面', '光', '剥', '无', '苔', '舌', '面', '光', '剥', '无', '苔', ',', '6', '.', '肌', '肤', '常', '见', '出', '血', '斑', '点', '或', '青', '紫', '斑', '块']","['O', 'O', 'O', 'O', 'O', 'B-症状', 'I-症状', 'I-症状', 'I-症状', 'O', 'B-症状', 'I-症状', 'I-症状', 'I-症状', 'O', 'B-症状', 'I-症状', 'I-症状', 'I-症状', 'O', 'B-症状', 'I-症状', 'I-症状', 'I-症状', 'O', 'B-症状', 'I-症状', 'I-症状', 'I-症状', 'I-症状', 'I-症状', 'O', 'B-症状', 'I-症状', 'I-症状', 'I-症状', 'I-症状', 'I-症状', 'O', 'O', 'O', 'O', 'B-症状', 'I-症状', 'I-症状', 'I-症状', 'I-症状', 'I-症状', 'I-症状', 'I-症状', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 3, 3, 3, 3, 3, 16, 17, 17, 17, 3, 16, 17, 17, 17, 3, 16, 17, 17, 17, 3, 16, 17, 17, 17, 3, 16, 17, 17, 17, 17, 17, 3, 16, 17, 17, 17, 17, 17, 3, 3, 3, 3, 16, 17, 17, 17, 17, 17, 17, 17, 3, 3, 3, 3, 3, 3, 1]","弹性较差 ,口腔糜 烂口腔糜 烂,牙龈 肿胀牙龈 肿胀,舌面光 剥无苔舌面光 剥无 苔,6.肌肤常见 出血斑点或青紫斑块",51,0,"[4, 8, 12, 16, 20, 26, 32, 34, 42]"
"['g', ')', '开', '窗', '或', '电', '扇', '使', '空', '气', '凉', '爽', ',', 'h', ')', '如', '惊', '厥', '超', '过', '5', '分', '钟']","['O', 'O', 'O', 'B-处置措施', 'I-处置措施', 'I-处置措施', 'I-处置措施', 'I-处置措施', 'I-处置措施', 'I-处置措施', 'I-处置措施', 'I-处置措施', 'I-处置措施', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 3, 3, 3, 56, 57, 57, 57, 57, 57, 57, 57, 57, 57, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1]","g) 开窗或电扇使空气凉爽 ,h)如惊厥超过5分钟",23,0,"[2, 12]"
"['曾', '接', '受', '过', '异', '体', '移', '植', '物', '移', '植', '的', '患', '者']","['O', 'O', 'B-献血者分类', 'I-献血者分类', 'I-献血者分类', 'I-献血者分类', 'I-献血者分类', 'I-献血者分类', 'I-献血者分类', 'I-献血者分类', 'I-献血者分类', 'I-献血者分类', 'I-献血者分类', 'I-献血者分类', 'I-献血者分类']","[0, 3, 3, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 1]",曾 接受过异体移植物移植的患者,14,0,[1]
"['S', 't', 'r', 'a', 's', 'b', 'o', 'u', 'r', 'g', ' ', '[', '5', ']', 'N', 'a', 'd', 'l', 'e', 'r', ' ', 'S', 'B', ',', 'H', 'i', 'd', 'a', 'l', 'g', 'o', ' ', 'J', 'U', 'H', 'i', 'd', 'a', 'l', 'g', 'o', ' ', 'J', 'U', ',', 'B', 'l', 'o', 'c', 'k', ' ', 'T', '.', 'P', 'r', 'e', 'd', 'i', 'c', 't', 'i', 'o', 'n', ' ', 'o', 'f', ' ', 'b', 'l', 'o', 'o', 'd', ' ', 'v', 'o', 'l', 'u', 'm', 'e', ' ', 'i', 'n', ' ', 'n', 'o', 'r', 'm', 'a', 'l', ' ', 'h', 'u', 'm', 'a', 'n', ' ', 'a', 'd', 'u', 'l', 't', 's', '.', '1', '9', '6', '2', 'B', 'l', 'o', 'c', 'k', ' ', 'T', '.', 'P', 'r', 'e', 'd', 'i', 'c', 't', 'i', 'o', 'n', ' ', 'o', 'f', ' ', 'b', 'l', 'o', 'o', 'd', ' ', 'v', 'o', 'l', 'u', 'm', 'e', ' ', 'i', 'n', ' ', 'n', 'o', 'r', 'm', 'a', 'l', ' ', 'h', 'u', 'm', 'a', 'n', ' ', 'a', 'd', 'u', 'l', 't', 's', '.', '1', '9', '6', '2', ',', 'S', 'u', 'r', 'g', 'e', 'r', 'y']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-作者', 'I-作者', 'I-作者', 'I-作者', 'I-作者', 'I-作者', 'I-作者', 'I-作者', 'I-作者', 'O', 'B-作者', 'I-作者', 'I-作者', 'I-作者', 'I-作者', 'I-作者', 'I-作者', 'I-作者', 'I-作者', 'I-作者', 'O', 'B-作者', 'I-作者', 'I-作者', 'I-作者', 'I-作者', 'I-作者', 'I-作者', 'I-作者', 'I-作者', 'I-作者', 'O', 'B-作者', 'I-作者', 'I-作者', 'I-作者', 'I-作者', 'I-作者', 'I-作者', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-作者', 'I-作者', 'I-作者', 'I-作者', 'I-作者', 'I-作者', 'I-作者', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 50, 51, 51, 51, 51, 51, 51, 51, 51, 3, 50, 51, 51, 51, 51, 51, 51, 51, 51, 51, 3, 50, 51, 51, 51, 51, 51, 51, 51, 51, 51, 3, 50, 51, 51, 51, 51, 51, 51, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 50, 51, 51, 51, 51, 51, 51, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1]","Strasbourg [5] Nadler SB ,Hidalgo J UHidalgo J U,Block  T.Prediction of blood volume in normal human adults.19 62Block  T.Prediction of blood volume in normal human adults.1962,Surgery",177,0,"[14, 23, 33, 43, 50, 105, 112]"
"['再', '用', '手', '消', '毒', '剂', '清', '除', '或', ' ', '者', '杀', '灭', '手', '部', '、', '前', '臂', '至', '上', '臂', '下', '1', '/', '3', '暂', '居', '菌', '和', '减', '少', '常', '居', '菌', '的', '过', '程', ',', '3', '.', '5', ' ', '常', '居', '菌', 'r', 'e', 's', 'i', 'd', 'e', 'n', 't', ' ', 's', 'k', 'i', 'n', ' ', 'f', 'l', 'o', 'r', 'a', ' ', '能', '从', '大', '部', '分', '人', '体', '皮', '肤', '上', '分', '离', '出', '来', '的', '微', '生', '物']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-术语', 'I-术语', 'I-术语', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 20, 21, 21, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1]","再用手消毒剂清除或 者杀灭手部、前臂至上臂下1/3暂居菌和减少常居菌的过程,3.5 常居菌resident skin flora 能从大部分人体皮肤上分离出来的微生物",83,0,
"['3', '.', '1', '2', '白', '细', '胞', '基', '浮', '红', '细', '胞', 'r', 'e', 'd', ' ', 'b', 'l', 'o', 'o', 'd', ' ', 'c', 'e', 'l', 'l', 's', ' ', 'i', 'n', ' ', 'a', 'd', 'd', 'i', 't', 'i', 'v', 'e', ' ', 's', 'o', 'l', 'u', 't', 'i', 'o', 'n', ' ', 'l', 'e', 'u', 'k', 'o', 'c', 'y', 't', 'e', 's', ' ', 'r', 'e', 'd', 'u', 'c', 'e', 'd', ' ', ' ', '使', '用', '白', '细', '胞', '过', '滤', '器', '清', '楚', '悬', '浮', '红', '细', '胞', '中', '几', '乎', '所', '有', '的', '白', '细', '胞']","['O', 'O', 'O', 'O', 'B-术语', 'I-术语', 'I-术语', 'I-术语', 'I-术语', 'I-术语', 'I-术语', 'I-术语', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 3, 3, 3, 3, 20, 21, 21, 21, 21, 21, 21, 21, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1]",3.12白细胞基浮红细胞red blood cells in additive solution leukocytes reduced  使用白细胞过滤器清楚悬浮红细胞中几乎所有的白细胞,93,0,
"['3', '5', 'R', 'h', 'D', '阴', '性', '属', '稀', '有', '血', '型', '吗', '？', '（', '知', '识', '类', '-', '血', '液', '概', '念', '型', '）', ' ', '任', '何', '一', '个', '血', '型', '系', '统', '抗', '原']","['O', 'O', 'B-血型', 'I-血型', 'I-血型', 'I-血型', 'I-血型', 'O', 'B-血型', 'I-血型', 'I-血型', 'I-血型', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 3, 3, 12, 13, 13, 13, 13, 3, 12, 13, 13, 13, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1]",35RhD阴性属稀有血型吗？（知识类-血液概念型） 任何一个血型系统抗原,36,0,
