sen,label_decode,label,raw_sen,length,start
"['第', '2', '天', '主', '动', '慰', '问', '献', '血', '者', '6', '.', '5', '严', '重', '献', '血', '反', '应', '6', '.', '5', '.', '1', '严', '重', '献', '血', '反', '应', '主', '要', '是', '惊', '厥', '伴', '有', '晕', '厥']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-严重程度评估', 'I-严重程度评估', 'I-严重程度评估', 'I-严重程度评估', 'I-严重程度评估', 'I-严重程度评估', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 124, 125, 125, 125, 125, 125, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1]",第2天主动慰问献血者6.5严重献血反应6.5.1严重献血反应主要是惊厥伴有晕厥,39,0
"['或', '见', '眼', '窝', '黯', '黑', '(', '俗', '称', '黑', '眼', '圈', ')']","['O', 'O', 'B-症状', 'I-症状', 'I-症状', 'I-症状', 'O', 'O', 'O', 'B-症状', 'I-症状', 'I-症状', 'O']","[0, 3, 3, 38, 39, 39, 39, 3, 3, 3, 38, 39, 39, 3, 1]",或见眼窝黯黑(俗称黑眼圈),13,0
"['3', '1', '如', '何', '确', '保', '血', '液', '安', '全', '（', '知', '识', '类', '-', '血', '液', '概', '念', '型', '）', '世', '界', '卫', '生', '组', '织', '（', 'W', 'H', 'O', '）', '已', '正', '式', '将', '血', '液', '安', '全', '列', '为', '全', '球', '7', '项', '重', '点', '卫', '生', '工', '作', '之', '一']","['O', 'O', 'O', 'O', 'O', 'O', 'B-安全', 'I-安全', 'I-安全', 'I-安全', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-制度', 'I-制度', 'I-制度', 'I-制度', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 3, 3, 3, 3, 3, 3, 34, 35, 35, 35, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 24, 25, 25, 25, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1]",31如何确保血液安全（知识类-血液概念型）世界卫生组织（WHO）已正式将血液安全列为全球7项重点卫生工作之一,54,0
"['3', '5', 'R', 'h', 'D', '阴', '性', '属', '稀', '有', '血', '型', '吗', '？', '（', '知', '识', '类', '-', '血', '液', '概', '念', '型', '）', '任', '何', '一', '个', '血', '型', '系', '统', '抗', '原']","['O', 'O', 'B-血型', 'I-血型', 'I-血型', 'I-血型', 'I-血型', 'O', 'B-血型', 'I-血型', 'I-血型', 'I-血型', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 3, 3, 30, 31, 31, 31, 31, 3, 30, 31, 31, 31, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1]",35RhD阴性属稀有血型吗？（知识类-血液概念型）任何一个血型系统抗原,35,0
"['如', '系', '统', '性', '红', '斑', '狼', '疮', '、', '皮', '肌', '炎', '、', '硬', '皮', '病', '、', '类', '风', '湿', '性', '关', '节', '炎', '、', '大', '动', '脉', '炎', '等']","['O', 'B-疾病', 'I-疾病', 'I-疾病', 'I-疾病', 'I-疾病', 'I-疾病', 'I-疾病', 'O', 'B-疾病', 'I-疾病', 'I-疾病', 'O', 'B-疾病', 'I-疾病', 'I-疾病', 'O', 'B-疾病', 'I-疾病', 'I-疾病', 'I-疾病', 'I-疾病', 'I-疾病', 'I-疾病', 'O', 'B-疾病', 'I-疾病', 'I-疾病', 'I-疾病', 'O']","[0, 3, 60, 61, 61, 61, 61, 61, 61, 3, 60, 61, 61, 3, 60, 61, 61, 3, 60, 61, 61, 61, 61, 61, 61, 3, 60, 61, 61, 61, 3, 1]",如系统性红斑狼疮、皮肌炎、硬皮病、类风湿性关节炎、大动脉炎等,30,0
"['或', '风', '疹', '活', '疫', '苗', '、', '人', '用', '狂', '犬', '病', '疫', '苗', '、', '乙', '型', '脑', '炎', '减', '毒', '活', '疫', '苗', '等', '最', '后', '一', '次', '免', '疫', '接', '种', '4', '周', '后', '方', '可', '献', '血']","['O', 'B-药品', 'I-药品', 'I-药品', 'I-药品', 'I-药品', 'O', 'B-药品', 'I-药品', 'I-药品', 'I-药品', 'I-药品', 'I-药品', 'I-药品', 'O', 'B-药品', 'I-药品', 'I-药品', 'I-药品', 'I-药品', 'I-药品', 'I-药品', 'I-药品', 'I-药品', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 3, 66, 67, 67, 67, 67, 3, 66, 67, 67, 67, 67, 67, 67, 3, 66, 67, 67, 67, 67, 67, 67, 67, 67, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1]",或风疹活疫苗、人用狂犬病疫苗、乙型脑炎减毒活疫苗等最后一次免疫接种4周后方可献血,40,0
"['3', '.', '5', '消', '毒', '剂', 'd', 'i', 's', 'i', 'n', 'c', 't', 'a', 'n', 't']","['O', 'O', 'O', 'B-术语', 'I-术语', 'I-术语', 'B-英文名', 'I-英文名', 'I-英文名', 'I-英文名', 'I-英文名', 'I-英文名', 'I-英文名', 'I-英文名', 'I-英文名', 'I-英文名']","[0, 3, 3, 3, 58, 59, 59, 20, 21, 21, 21, 21, 21, 21, 21, 21, 21, 1]",3.5消毒剂disinctant,16,0
"['6', '.', '2', '.', '6', '急', '性', '胃', '肠', '炎', '病', '愈', '未', '满', '1', '周', '者']","['O', 'O', 'O', 'O', 'O', 'B-疾病', 'I-疾病', 'I-疾病', 'I-疾病', 'I-疾病', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 3, 3, 3, 3, 3, 60, 61, 61, 61, 61, 3, 3, 3, 3, 3, 3, 3, 1]",6.2.6急性胃肠炎病愈未满1周者,17,0
"['弹', '性', '较', '差', '口', '腔', '糜', '烂', '牙', '龈', '肿', '胀', '舌', '面', '光', '剥', '无', '苔']","['O', 'O', 'O', 'O', 'B-症状', 'I-症状', 'I-症状', 'I-症状', 'B-症状', 'I-症状', 'I-症状', 'I-症状', 'B-症状', 'I-症状', 'I-症状', 'I-症状', 'I-症状', 'I-症状']","[0, 3, 3, 3, 3, 38, 39, 39, 39, 38, 39, 39, 39, 38, 39, 39, 39, 39, 39, 1]",弹性较差口腔糜烂牙龈肿胀舌面光剥无苔,18,0
"['1', '.', '2', '核', '对', '献', '血', '者', '身', '份', '及', '年', '龄', '1', '.', '2', '.', '1', '献', '血', '者', '身', '份']","['O', 'O', 'O', 'B-献血者健康检查', 'I-献血者健康检查', 'I-献血者健康检查', 'I-献血者健康检查', 'I-献血者健康检查', 'I-献血者健康检查', 'I-献血者健康检查', 'I-献血者健康检查', 'I-献血者健康检查', 'I-献血者健康检查', 'O', 'O', 'O', 'O', 'O', 'B-献血者健康检查', 'I-献血者健康检查', 'I-献血者健康检查', 'I-献血者健康检查', 'I-献血者健康检查']","[0, 3, 3, 3, 48, 49, 49, 49, 49, 49, 49, 49, 49, 49, 3, 3, 3, 3, 3, 48, 49, 49, 49, 49, 1]",1.2核对献血者身份及年龄1.2.1献血者身份,23,0
