sen,label_decode,label,raw_sen
"['兼', '任', '招', '商', '轮', '船', '董', '事', '；', '2', '0', '0', '7', '年', '6', '月', '至', '2', '0', '1', '0', '年', '6', '月']","['O', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'E-TITLE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[3, 3, 15, 16, 16, 17, 9, 11, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",兼任招商轮船董事；2007年6月至2010年6月
"['任', '中', '国', '税', '务', '学', '会', '副', '会', '长', '；', '2', '0', '1', '1', '年', '9', '月', '至', '2', '0', '1', '4', '年', '4', '月']","['O', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'M-TITLE', 'E-TITLE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[3, 15, 16, 16, 16, 16, 17, 9, 10, 11, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",任中国税务学会副会长；2011年9月至2014年4月
"['2', '0', '1', '3', '年', '5', '月', '至', '今', '任', '公', '司', '独', '立', '董', '事', '冯', '淑', '华', '女', '士']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'E-ORG', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE', 'B-NAME', 'M-NAME', 'E-NAME', 'O', 'O']","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 15, 17, 9, 10, 10, 11, 1, 18, 2, 3, 3]",2013年5月至今任公司独立董事冯淑华女士
"['1', '9', '9', '9', '年', '入', '选', '教', '育', '部', '跨', '世', '纪', '人', '才', '计', '划']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE']","[3, 3, 3, 3, 3, 3, 3, 9, 10, 10, 10, 10, 10, 10, 10, 10, 11]",1999年入选教育部跨世纪人才计划
"['毕', '业', '于', '中', '国', '科', '学', '院', '研', '究', '生', '院']","['O', 'O', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG']","[3, 3, 3, 15, 16, 16, 16, 16, 16, 16, 16, 17]",毕业于中国科学院研究生院
"['1', '9', '6', '2', '年', '出', '生', '研', '究', '生', '学', '历', '高', '级', '政', '工', '师']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-EDU', 'M-EDU', 'M-EDU', 'M-EDU', 'E-EDU', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE']","[3, 3, 3, 3, 3, 3, 3, 12, 13, 13, 13, 14, 9, 10, 10, 10, 11]",1962年出生研究生学历高级政工师
"['现', '任', '公', '司', '党', '委', '书', '记', '副', '董', '事', '长']","['O', 'O', 'B-ORG', 'E-ORG', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE']","[3, 3, 15, 17, 9, 10, 10, 11, 9, 10, 10, 11]",现任公司党委书记副董事长
"['2', '0', '0', '2', '年', '3', '月', '起', '任', '天', '津', '海', '泰', '科', '技', '发', '展', '股', '份', '有', '限', '公', '司', '总', '经', '理', '助', '理', '程', '凡', '贵', '先', '生', '：', '中', '国', '国', '籍']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE', 'B-NAME', 'M-NAME', 'E-NAME', 'O', 'O', 'O', 'B-CONT', 'M-CONT', 'M-CONT', 'E-CONT']","[3, 3, 3, 3, 3, 3, 3, 3, 3, 15, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 17, 9, 10, 10, 10, 11, 1, 18, 2, 3, 3, 3, 4, 5, 5, 6]",2002年3月起任天津海泰科技发展股份有限公司总经理助理程凡贵先生：中国国籍
"['现', '任', '武', '汉', '大', '学', '企', '业', '战', '略', '管', '理', '研', '究', '所', '所', '长', '社', '会', '兼', '职', '有', '国', '家', '社', '会', '科', '学', '基', '金', '项', '目', '学', '科', '评', '审', '组', '专', '家', '、', '湖', '北', '省', '经', '团', '联', '副', '秘', '书', '长', '、', '中', '国', '企', '业', '管', '理', '研', '究', '会', '副', '理', '事', '长', '、', '湖', '北', '省', '技', '术', '经', '济', '协', '会', '副', '理', '事', '长']","['O', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'E-TITLE', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'E-TITLE', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE']","[3, 3, 15, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 17, 9, 11, 15, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 17, 9, 11, 3, 15, 16, 16, 16, 16, 17, 9, 10, 10, 11, 3, 15, 16, 16, 16, 16, 16, 16, 16, 17, 9, 10, 10, 11, 3, 15, 16, 16, 16, 16, 16, 16, 16, 17, 9, 10, 10, 11]",现任武汉大学企业战略管理研究所所长社会兼职有国家社会科学基金项目学科评审组专家、湖北省经团联副秘书长、中国企业管理研究会副理事长、湖北省技术经济协会副理事长
"['生', '于', '1', '9', '6', '3', '年', '1', '1', '月', '7', '日', '中', '国', '致', '公', '党', '党', '员', '研', '究', '生', '学', '历', '会', '计', '学', '教', '授', '、', '中', '国', '注', '册', '会', '计', '师', '、', '贵', '州', '大', '学', '管', '理', '学', '硕', '士', '生', '导', '师', '、', '贵', '州', '财', '经', '大', '学', '会', '计', '学', '硕', '士', '生', '导', '师', '、', 'M', 'B', 'A', '硕', '士', '生', '导', '师']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE', 'B-EDU', 'M-EDU', 'M-EDU', 'M-EDU', 'E-EDU', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE', 'O', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE', 'O', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE']","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 9, 10, 10, 10, 10, 10, 11, 12, 13, 13, 13, 14, 9, 10, 10, 10, 11, 3, 9, 10, 10, 10, 10, 10, 11, 3, 15, 16, 16, 17, 9, 10, 10, 10, 10, 10, 10, 11, 3, 15, 16, 16, 16, 16, 17, 9, 10, 10, 10, 10, 10, 10, 11, 3, 9, 10, 10, 10, 10, 10, 10, 11]",生于1963年11月7日中国致公党党员研究生学历会计学教授、中国注册会计师、贵州大学管理学硕士生导师、贵州财经大学会计学硕士生导师、MBA硕士生导师
